Date,Product ID,Product Name,Price per Unit,Price per Unit (sold),Quantity Sold (liters/kg),Quantity in Stock (liters/kg),Expiration Date,Total Value,Days to Expire
2022-02-17,5,Ice Cream,85.72,82.24,7,215,2022-01-21,19064.128,32
2021-12-01,1,Milk,42.61,39.24,558,129,2021-10-25,29293.5228,22
2022-02-28,4,Yogurt,36.5,33.81,256,247,2022-02-13,18377.02,44
2019-06-09,3,Cheese,26.52,28.92,601,222,2019-07-26,21835.5072,106
2020-12-14,8,Buttermilk,83.85,83.07,145,2,2020-10-28,12390.5145,12
2019-01-07,6,Curd,85.54,84.75,74,519,2019-01-08,50803.9168,60
2022-08-05,3,Cheese,36.83,32.66,410,347,2022-09-05,27885.4662,90
2019-02-14,9,Paneer,29.08,29.09,15,188,2019-01-20,5913.7088,34
2020-08-02,6,Curd,22.79,24.77,860,89,2020-06-12,21630.4448,8
2022-03-04,8,Buttermilk,42.08,46.15,108,277,2022-02-12,16227.731199999998,39
2021-12-22,4,Yogurt,67.23,68.09,22,30,2021-11-26,3537.6426,33
2020-10-14,7,Lassi,84.6,88.05,345,308,2020-09-05,55247.184,20
2020-02-18,3,Cheese,58.28,58.09,1,11,2020-03-27,722.0892,97
2019-12-26,5,Ice Cream,94.43,94.32,80,532,2020-01-09,57806.2688,73
2022-04-10,5,Ice Cream,88.66,93.51,645,152,2022-04-23,70723.1954,72
2020-02-22,1,Milk,11.58,8.69,778,43,2020-02-01,9513.2016,38
2022-12-17,10,Ghee,48.83,52.79,438,225,2023-04-13,32390.8922,176
2020-06-24,6,Curd,26.18,30.27,270,115,2020-05-14,10090.0338,18
2020-01-19,8,Buttermilk,41.05,40.75,309,58,2019-12-11,15071.096999999998,20
2021-06-15,1,Milk,93.72,96.08,486,410,2021-06-19,84056.5308,63
2020-05-19,9,Paneer,87.53,87.3,26,62,2020-04-14,7763.035699999999,24
2022-08-08,3,Cheese,13.94,14.13,62,158,2022-08-13,3067.2182,64
2020-04-16,4,Yogurt,84.48,89.32,173,351,2020-05-02,44315.67360000001,75
2022-03-03,3,Cheese,90.1,91.05,610,269,2022-03-12,79207.811,68
2021-10-24,6,Curd,81.31,76.37,55,157,2021-08-31,17283.2536,5
2021-11-17,9,Paneer,62.21,66.7,845,41,2021-10-31,55139.8335,42
2022-07-26,2,Butter,89.64,92.96,47,383,2022-08-11,38586.4344,75
2022-09-25,2,Butter,77.46,77.53,246,194,2022-09-25,34114.9332,59
2020-06-24,6,Curd,86.39,84.57,305,260,2020-05-27,48830.2197,31
2021-01-13,7,Lassi,18.99,21.19,26,75,2021-01-21,1928.6244,67
2020-05-25,9,Paneer,80.1,81.76,557,213,2020-05-09,61698.62699999999,43
2020-03-27,2,Butter,92.69,96.86,56,929,2020-03-20,91387.7055,52
2022-01-01,9,Paneer,44.3,46.82,137,458,2021-12-10,26393.497,37
2019-10-02,10,Ghee,43.88,41.49,86,495,2020-01-06,25516.22,155
2019-05-14,4,Yogurt,97.87,101.56,95,237,2019-04-10,32577.986900000004,25
2022-04-28,1,Milk,61.24,65.53,389,263,2022-04-13,39952.976,44
2020-01-11,10,Ghee,27.23,25.51,384,102,2020-04-27,13245.4889,166
2021-01-28,7,Lassi,49.39,45.86,167,357,2021-01-08,25915.4269,39
2022-07-11,7,Lassi,36.87,32.92,671,4,2022-06-09,24911.2155,27
2021-06-09,6,Curd,27.31,22.62,116,151,2021-04-24,7297.505099999999,13
2019-02-23,8,Buttermilk,34.8,38.9,292,509,2019-02-08,27883.5,44
2019-12-11,7,Lassi,91.62,93.93,104,8,2019-11-12,10334.736,30
2022-02-08,7,Lassi,92.04,89.08,715,82,2022-01-26,73403.7408,46
2021-04-09,5,Ice Cream,52.35,54.41,6,669,2021-03-16,35376.5595,35
2019-10-23,1,Milk,46.37,42.34,302,563,2019-10-13,40110.5137,49
2019-09-20,2,Butter,90.79,87.28,3,5,2019-09-19,768.9913000000001,58
2021-02-01,9,Paneer,23.83,20.25,82,299,2020-12-30,9097.817399999998,26
2020-05-03,1,Milk,25.48,27.22,406,428,2020-03-26,21253.6324,21
2019-08-15,7,Lassi,78.56,74.45,552,129,2019-07-20,53534.71200000001,33
2019-03-03,9,Paneer,55.77,52.57,262,726,2019-03-06,55136.4528,62
2019-11-28,8,Buttermilk,41.31,43.02,141,269,2019-11-07,16956.9288,38
2021-03-08,5,Ice Cream,58.25,62.31,305,46,2021-04-01,20452.1575,83
2020-01-16,8,Buttermilk,62.03,65.24,62,21,2020-01-27,5167.719300000001,70
2019-01-07,2,Butter,89.8,92.23,22,8,2018-12-27,2755.962,48
2021-05-15,9,Paneer,82.89,85.42,2,7,2021-04-14,810.6641999999999,28
2022-09-22,3,Cheese,48.71,45.04,705,248,2022-10-09,46430.8591,76
2021-05-26,7,Lassi,98.37,101.64,145,562,2021-05-26,69567.26400000001,59
2021-04-20,6,Curd,56.07,58.17,11,828,2021-04-07,47048.337,46
2021-02-07,10,Ghee,68.66,69.79,956,4,2021-05-30,65932.82479999999,171
2020-09-22,4,Yogurt,82.43,84.9,26,39,2020-10-21,5423.894,88
2019-11-17,10,Ghee,92.97,95.09,634,51,2020-03-29,63762.5448,192
2022-12-18,4,Yogurt,20.21,21.16,290,464,2022-11-21,15243.3925,32
2021-01-02,5,Ice Cream,86.58,83.73,696,54,2020-12-30,64995.606,56
2019-12-17,10,Ghee,61.21,61.22,392,446,2020-05-02,51346.0085,196
2019-08-24,2,Butter,45.01,48.01,534,257,2019-09-14,35610.5617,80
2021-11-07,1,Milk,95.03,93.22,16,46,2021-10-08,5966.9337,29
2020-04-15,4,Yogurt,45.36,40.97,834,97,2020-05-05,42262.365600000005,79
2020-09-10,7,Lassi,22.2,23.26,304,94,2020-08-05,8837.598,23
