product_id,quantity,expiry_date,shelf_life,time_in_stock
1,21,2025-02-28,47,13
2,15,2025-05-13,121,20
3,25,2025-05-02,110,8
4,26,2025-06-17,156,0
5,23,2025-08-29,229,16
6,11,2025-05-15,123,17
7,28,2025-04-12,90,23
8,28,2025-06-15,154,15
9,14,2025-05-25,133,11
10,10,2025-04-15,93,27
11,9,2025-07-20,189,13
12,9,2025-07-03,172,30
13,7,2025-09-04,235,1
14,7,2025-03-05,52,17
15,5,2025-08-14,214,6
16,3,2025-04-18,96,2
17,6,2025-04-29,107,8
18,5,2025-04-14,92,10
19,6,2025-08-03,203,7
20,10,2025-05-18,126,26
21,10,2025-07-28,197,12
22,4,2025-07-04,173,28
23,10,2025-02-24,43,15
24,9,2025-04-06,84,19
25,3,2025-03-29,76,2
26,1,2025-03-21,68,3
27,2,2025-09-03,234,21
28,1,2025-02-23,42,29
29,1,2025-08-31,231,26
30,4,2025-04-10,88,27
1,10,2025-03-11,58,10
2,14,2025-03-17,64,2
3,12,2025-03-30,77,30
4,21,2025-08-23,223,10
5,17,2025-04-01,79,17
6,11,2025-02-17,36,30
7,24,2025-03-15,62,2
8,6,2025-02-22,41,9
