date,total_stock,occupancy_rate
2020-01-01,428,85.6
2020-01-02,419,83.8
2020-01-03,412,82.39999999999999
2020-01-04,396,79.2
2020-01-05,355,71.0
2020-01-06,326,65.2
2020-01-07,326,65.2
2020-01-08,311,62.2
2020-01-09,304,60.8
2020-01-10,292,58.4
2020-01-11,283,56.599999999999994
2020-01-12,252,50.4
2020-01-13,234,46.800000000000004
2020-01-14,228,45.6
2020-01-15,216,43.2
2020-01-16,209,41.8
2020-01-17,202,40.400000000000006
2020-01-18,192,38.4
2020-01-19,170,34.0
2020-01-20,134,26.8
2020-01-21,134,26.8
2020-01-22,122,24.4
2020-01-23,116,23.200000000000003
2020-01-24,107,21.4
2020-01-25,101,20.200000000000003
2020-01-26,83,16.6
2020-01-27,464,92.80000000000001
2020-01-28,457,91.4
2020-01-29,447,89.4
2020-01-30,438,87.6
2020-01-31,431,86.2
2020-02-01,421,84.2
2020-02-02,398,79.60000000000001
2020-02-03,378,75.6
2020-02-04,378,75.6
2020-02-05,373,74.6
2020-02-06,363,72.6
2020-02-07,353,70.6
2020-02-08,343,68.60000000000001
2020-02-09,319,63.800000000000004
2020-02-10,304,60.8
2020-02-11,298,59.599999999999994
2020-02-12,292,58.4
2020-02-13,285,56.99999999999999
2020-02-14,280,56.00000000000001
2020-02-15,273,54.6
2020-02-16,258,51.6
2020-02-17,243,48.6
2020-02-18,243,48.6
2020-02-19,239,47.8
2020-02-20,230,46.0
2020-02-21,225,45.0
2020-02-22,218,43.6
2020-02-23,203,40.6
2020-02-24,184,36.8
2020-02-25,178,35.6
2020-02-26,173,34.599999999999994
2020-02-27,167,33.4
2020-02-28,159,31.8
2020-02-29,155,31.0
2020-03-01,137,27.400000000000002
2020-03-02,114,22.8
2020-03-03,114,22.8
2020-03-04,107,21.4
2020-03-05,100,20.0
2020-03-06,90,18.0
2020-03-07,493,98.6
2020-03-08,474,94.8
2020-03-09,459,91.8
2020-03-10,453,90.60000000000001
2020-03-11,449,89.8
2020-03-12,444,88.8
2020-03-13,437,87.4
2020-03-14,431,86.2
2020-03-15,416,83.2
